"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",38,"[(468, 0, 84), (799, 0, 82), (469, 1, 84), (800, 1, 82), (1807, 1, 88), (1809, 2, 88), (477, 7, 84), (827, 7, 82), (1821, 7, 88), (480, 10, 84), (830, 10, 82), (1827, 10, 88), (500, 16, 84), (910, 16, 82), (924, 22, 82), (925, 23, 82), (842, 28, 84), (942, 28, 82), (844, 30, 84), (954, 30, 82), (1941, 31, 88), (854, 32, 84), (973, 32, 82), (1942, 32, 88), (991, 38, 82), (1275, 38, 84), (992, 41, 82), (1279, 41, 84), (1288, 44, 84), (1382, 79, 84), (1209, 94, 82), (1411, 94, 84), (1211, 95, 82), (1414, 95, 84), (1218, 101, 82), (1421, 101, 84), (1220, 103, 82), (1423, 103, 84)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",21,"[(943, 29, 82), (1937, 29, 88), (953, 30, 82), (1140, 69, 82), (1161, 77, 82), (2222, 77, 88), (2223, 78, 88), (1181, 84, 82), (1396, 84, 84), (1832, 84, 88), (1198, 88, 82), (1199, 89, 82), (1207, 91, 82), (2268, 91, 88), (1205, 92, 82), (1216, 99, 82), (1418, 99, 84), (1849, 99, 88), (1219, 102, 82), (1422, 102, 84), (1852, 102, 88)]"
The policy makes a statement about how data from children is treated.,14,"[(1192, 85, 82), (1397, 85, 84), (1833, 85, 88), (1194, 86, 82), (1398, 86, 84), (1834, 86, 88), (1195, 87, 82), (1399, 87, 84), (1837, 87, 88), (1197, 88, 82), (1400, 88, 84), (2255, 88, 88), (1200, 89, 82), (1401, 89, 84)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",13,"[(470, 2, 84), (801, 2, 82), (478, 8, 84), (828, 8, 82), (1822, 8, 88), (1067, 52, 82), (1310, 52, 84), (1137, 67, 82), (1356, 67, 84), (1829, 67, 88), (1138, 68, 82), (1358, 68, 84), (1831, 68, 88)]"
The text describes a specific data practice that is not covered by our label scheme.,12,"[(823, 5, 82), (1899, 19, 88), (1828, 41, 88), (2131, 55, 88), (2153, 60, 88), (2170, 62, 88), (1128, 65, 82), (2206, 66, 88), (2257, 94, 88), (2258, 95, 88), (1416, 97, 84), (1215, 98, 82)]"
A user with an account can use privacy configuration settings (in the website or app) to control the use of unspecified information by an unspecified party for marketing purposes.,7,"[(1143, 71, 82), (1371, 71, 84), (2219, 71, 88), (1146, 72, 82), (2225, 72, 88), (1153, 73, 82), (2227, 73, 88)]"
A user without an account can opt out (via a link) from the use of unspecified information by an unspecified party for marketing purposes.,7,"[(1144, 71, 82), (1364, 71, 84), (2220, 71, 88), (1149, 72, 82), (2226, 72, 88), (1154, 73, 82), (2228, 73, 88)]"
You can opt out (via a link) from the use of unspecified information by an unspecified party for marketing purposes.,7,"[(1141, 69, 82), (2215, 69, 88), (1139, 70, 82), (2217, 70, 88), (1156, 74, 82), (2230, 74, 88), (1159, 76, 82)]"
"A user can edit their information, within the scope of information the company has learned about the user.",6,"[(2235, 76, 88), (2253, 81, 88), (2252, 82, 88), (1191, 83, 82), (2254, 83, 88), (2266, 91, 88)]"
The text does not fit into our label scheme.,6,"[(920, 21, 82), (1021, 41, 82), (1034, 44, 82), (1165, 79, 82), (1180, 81, 82), (1213, 97, 82)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",5,"[(1212, 96, 82), (1415, 96, 84), (1846, 96, 88), (1847, 97, 88), (1420, 100, 84)]"
A named third party does receive your unspecified personal information for a basic service or feature.,5,"[(504, 19, 84), (505, 20, 84), (918, 20, 82), (1097, 56, 82), (1123, 64, 82)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",5,"[(1214, 98, 82), (2259, 98, 88), (1217, 100, 82), (1419, 100, 84), (1850, 100, 88)]"
The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way.,4,"[(499, 15, 84), (912, 15, 82), (835, 24, 84), (928, 24, 82)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of cookies and tracking elements by a third party, which collects or receives it for an unspecified purpose.",4,"[(1008, 39, 82), (1276, 39, 84), (1171, 80, 82), (1385, 80, 84)]"
