"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",14,"[(8566, 0, 96), (8567, 1, 96), (8568, 2, 96), (10319, 2, 103), (8589, 15, 96), (8613, 28, 96), (8617, 31, 96), (25440, 0, 127), (25441, 1, 127), (25442, 2, 127), (25445, 4, 127), (25446, 5, 127), (25456, 10, 127), (25499, 32, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,9,"[(8600, 20, 96), (10652, 28, 103), (25455, 9, 127), (25460, 11, 127), (25509, 14, 127), (25468, 16, 127), (25517, 19, 127), (25474, 20, 127), (25496, 31, 127)]"
The text does not fit into our label scheme.,7,"[(10318, 1, 103), (8577, 7, 96), (8584, 11, 96), (8590, 16, 96), (25479, 23, 127), (25492, 28, 127), (25497, 31, 127)]"
The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,4,"[(8580, 8, 96), (10327, 8, 103), (8592, 17, 96), (25453, 8, 127)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,4,"[(8578, 8, 96), (10325, 8, 103), (8594, 17, 96), (25451, 8, 127)]"
The site collects your website activities for an unspecified purpose. Collection happens when you implicitly provide information on the website.,4,"[(8579, 8, 96), (10326, 8, 103), (8591, 17, 96), (25452, 8, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",3,"[(8618, 32, 96), (10658, 32, 103), (25498, 32, 127)]"
The policy makes a statement about how data from children is treated.,3,"[(8616, 30, 96), (10655, 30, 103), (25495, 30, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(8620, 34, 96), (10662, 34, 103), (25502, 34, 127)]"
An unspecified third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,3,"[(8603, 22, 96), (10486, 22, 103), (25477, 22, 127)]"
The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website.,3,"[(10337, 17, 103), (8608, 26, 96), (25470, 17, 127)]"
An unspecified third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,3,"[(8604, 22, 96), (10487, 22, 103), (25478, 22, 127)]"
"The site collects your generic personal information for advertising. Collection happens in an unspecified way, and your data is identifiable.",2,"[(8601, 21, 96), (25475, 21, 127)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",2,"[(8581, 9, 96), (25454, 9, 127)]"
"The site collects your contact information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",2,"[(25513, 18, 127), (25476, 21, 127)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(10340, 17, 103), (25473, 17, 127)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",2,"[(10323, 6, 103), (25510, 18, 127)]"
The site collects your website activities for advertising. Collection happens in an unspecified way.,2,"[(8587, 14, 96), (10334, 14, 103)]"
An unnamed third party does do something unspecified with information about you not covered by our label scheme for targeted advertising.,2,"[(8611, 26, 96), (10644, 26, 103)]"
An unspecified third party does receive your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,2,"[(10617, 25, 103), (25483, 25, 127)]"
An unspecified third party does do something outside of our label scheme with your unspecified personal information for mergers or acquisitions. The data is personally identifiable.,2,"[(8607, 25, 96), (25484, 25, 127)]"
The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(10339, 17, 103), (25472, 17, 127)]"
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",2,"[(8575, 6, 96), (25515, 19, 127)]"
The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(25469, 17, 127), (25486, 26, 127)]"
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",2,"[(8602, 21, 96), (10485, 21, 103)]"
The site collects your location information for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(10338, 17, 103), (25471, 17, 127)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by some means outside of our label scheme, and your data is identifiable.",2,"[(10634, 13, 103), (25465, 13, 127)]"
"The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable.",2,"[(8596, 18, 96), (10341, 18, 103)]"
A named third party does receive your activities on the website or app for targeted advertising.,2,"[(10335, 14, 103), (25508, 14, 127)]"
The site collects your IP address or device IDs for analytics or research. Collection happens in an unspecified way.,1,"[(10329, 10, 103)]"
A named third party does receive your unspecified personal information for a basic service or feature. The data is personally identifiable.,1,"[(10615, 24, 103)]"
A named third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(10649, 27, 103)]"
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(8598, 19, 96)]"
A named third party does do something outside of our label scheme with your unspecified personal information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection.,1,"[(10489, 23, 103)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users have no options regarding the change.",1,"[(25444, 3, 127)]"
"The site collects your contact information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(8572, 5, 96)]"
"You can opt in for the use of user profile by the site, which collects it for an additional (non-basic) service or feature.",1,"[(25518, 19, 127)]"
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens on the website. You can configure your privacy with browser settings.,1,"[(10331, 12, 103)]"
"The site does not collect your generic personal information for an unspecified purpose. Collection happens in an unspecified way for a user type outside of our label scheme, and your data is identifiable.",1,"[(25520, 30, 127)]"
The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(25487, 26, 127)]"
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users have no options regarding the change.",1,"[(10322, 3, 103)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(8576, 6, 96)]"
"The site collects your generic personal information for a purpose outside of our label scheme. Collection happens in an unspecified way, and your data is identifiable. You can opt out by contacting the company.",1,"[(10342, 19, 103)]"
The public does do something outside of our label scheme with your user profile for a basic service or feature. You can choose not to use the service or feature for the use of your information.,1,"[(8599, 19, 96)]"
"The site collects your generic personal information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection for the use of your information.",1,"[(8595, 18, 96)]"
The site collects your unspecified information for advertising. Collection happens when you implicitly provide information on the website.,1,"[(10642, 26, 103)]"
"The site collects your financial information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable.",1,"[(8573, 5, 96)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1,"[(25503, 6, 127)]"
Another part of the company or institution does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(25491, 27, 127)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",1,"[(8619, 33, 96)]"
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which uses it for marketing purposes.",1,"[(8615, 29, 96)]"
