The policy makes a statement about how data from children is treated.,27,"[(13604, 27, 103), (14577, 27, 96), (13611, 28, 103), (14578, 28, 96), (13612, 29, 103), (14579, 29, 96), (13613, 30, 103), (14580, 30, 96), (13689, 31, 103), (14581, 31, 96), (13711, 32, 103), (14582, 32, 96), (13715, 33, 103), (14583, 33, 96), (13725, 34, 103), (14584, 34, 96), (13728, 35, 103), (14585, 35, 96), (24533, 27, 127), (24534, 28, 127), (24537, 29, 127), (24540, 30, 127), (24568, 31, 127), (24572, 32, 127), (24575, 33, 127), (24543, 34, 127), (24586, 35, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,15,"[(14539, 10, 96), (14559, 17, 96), (14575, 25, 96), (24480, 12, 127), (24457, 13, 127), (24512, 17, 127), (24522, 20, 127), (24525, 21, 127), (24531, 24, 127), (24567, 25, 127), (24585, 33, 127), (24549, 37, 127), (24554, 40, 127), (24556, 41, 127), (24562, 43, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",8,"[(13971, 0, 96), (13463, 1, 103), (13974, 1, 96), (13975, 2, 96), (14947, 37, 96), (24403, 0, 127), (24404, 1, 127), (24406, 2, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",6,"[(13486, 13, 103), (14548, 13, 96), (13741, 44, 103), (14955, 44, 96), (24455, 13, 127), (24564, 44, 127)]"
The text does not fit into our label scheme.,6,"[(24463, 10, 127), (24482, 12, 127), (24523, 20, 127), (24588, 35, 127), (24548, 36, 127), (24551, 38, 127)]"
The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way.,5,"[(13535, 15, 103), (14551, 15, 96), (13538, 16, 103), (14555, 16, 96), (24488, 15, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",5,"[(13549, 19, 103), (13731, 36, 103), (14946, 36, 96), (13734, 39, 103), (24547, 36, 127)]"
The site collects your unspecified information for analytics or research. Collection happens in an unspecified way.,4,"[(13542, 16, 103), (14558, 16, 96), (24504, 16, 127), (24508, 16, 127)]"
"A user's contact information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted..",4,"[(13616, 30, 103), (24539, 29, 127), (24542, 30, 127), (24574, 32, 127)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",4,"[(13736, 41, 103), (14951, 41, 96), (24552, 39, 127), (24555, 41, 127)]"
