"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(8078, 0, 103), (22182, 0, 123), (8082, 1, 103), (22188, 1, 123)]"
"Data transfer between user and website/app is encrypted, e.g., SSL, TLS, HTTPS.",2,"[(7588, 1, 96), (8081, 1, 103)]"
An unnamed third party does not receive unspecified information about you for marketing purposes.,1,"[(22187, 0, 123)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,1,"[(22185, 0, 123)]"
"The site collects your cookies or tracking elements for personalization or customization. Collection happens on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(22189, 2, 123)]"
The site collects your contact information for personalization or customization. Collection happens when you explicitly provide information on the website.,1,"[(22183, 0, 123)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",1,"[(7591, 2, 96)]"
An unspecified third party does not do something outside of our label scheme with unspecified information about you for marketing purposes.,1,"[(7587, 0, 96)]"
An unnamed third party does not receive your unspecified personal information for targeted advertising.,1,"[(8080, 0, 103)]"
"The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7586, 0, 96)]"
The site collects your unspecified information for personalization or customization. Collection happens when you explicitly provide information on the website.,1,"[(22184, 0, 123)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of activities on the website or app by the site, which collects it for personalization or customization.",1,"[(7593, 2, 96)]"
"You can use privacy configuration settings (in your browser or on your device) to control the use of activities on the website or app by the site, which collects it for an additional (non-basic) service or feature.",1,"[(7592, 2, 96)]"
The site collects your cookies or tracking elements for a basic service or feature. Collection happens in an unspecified way. You can configure your privacy with browser settings.,1,"[(8083, 2, 103)]"
"The site collects your contact information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7583, 0, 96)]"
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7584, 0, 96)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website.,1,"[(22186, 0, 123)]"
"The site collects your unspecified information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",1,"[(7585, 0, 96)]"
Data is accessible to employees/third parties on a need-to-know basis.,1,"[(7590, 1, 96)]"
"A user can edit their information, within the scope of information explicitly provided by the user.",1,"[(8079, 0, 103)]"
