"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",7,"[(8550, 0, 96), (8551, 1, 96), (10306, 1, 103), (8565, 7, 96), (25417, 0, 127), (25418, 1, 127), (25439, 7, 127)]"
An unnamed third party does not do something outside of our label scheme with your unspecified personal information for an unspecified purpose. The data is personally identifiable.,3,"[(8553, 2, 96), (10307, 2, 103), (25420, 2, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",3,"[(8564, 6, 96), (10316, 6, 103), (25438, 6, 127)]"
"You can opt in for the use of unspecified information by the site, which uses it for marketing purposes.",2,"[(8554, 2, 96), (10308, 2, 103)]"
An unnamed third party does not receive your unspecified personal information for an unspecified purpose. The data is personally identifiable.,2,"[(8552, 2, 96), (25419, 2, 127)]"
The site collects your website activities for analytics or research. Collection happens by a named service or third party.,1,"[(25432, 5, 127)]"
"The site collects your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the use of your information.",1,"[(8558, 4, 96)]"
A user's cookies and tracking elements is retained for a limited (but unspecified) period of time to fulfill an unspecified purpose.,1,"[(25428, 4, 127)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can make a choice about the collection and use of your information.,1,"[(25423, 3, 127)]"
A user's information of a type not covered by our label scheme is retained for a stated period of time to fulfill an unspecified purpose.,1,"[(8561, 5, 96)]"
A named third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(25436, 5, 127)]"
The text does not fit into our label scheme.,1,"[(10317, 7, 103)]"
A user's cookies and tracking elements is retained for a limited (but unspecified) period of time to maintain service operations or security.,1,"[(25427, 4, 127)]"
"The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(25426, 4, 127)]"
"When a change of an unspecified nature is made to the privacy policy, users are notified when visiting the website. Users have a choice not covered by our label scheme.",1,"[(25437, 6, 127)]"
"The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings.",1,"[(10310, 4, 103)]"
The site collects your computer information for service operations or security. Collection happens in an unspecified way.,1,"[(25433, 5, 127)]"
The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the use of your information.,1,"[(8556, 3, 96)]"
A named third party does receive information about you not covered by our label scheme for an unspecified purpose. The data is aggregated or anonymized.,1,"[(10314, 5, 103)]"
"The site collects your unspecified information for a basic service or feature. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme. You can configure your privacy with browser settings for the use of your information.",1,"[(8557, 4, 96)]"
"When a change is made to the privacy policy that significantly affects data practices, users are notified in a manner outside of our label scheme. Users have no options regarding the change.",1,"[(8563, 6, 96)]"
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(25431, 4, 127)]"
A user's cookies and tracking elements is retained for a limited (but unspecified) period of time to show ads.,1,"[(25430, 4, 127)]"
The site collects your IP address or device IDs for service operations or security. Collection happens in an unspecified way.,1,"[(25434, 5, 127)]"
A user's computer information is retained for a stated period of time to maintain service operations or security.,1,"[(25435, 5, 127)]"
The site does not collect your contact information for marketing purposes. Collection happens by some means outside of our label scheme. You can opt in for data collection for the use of your information.,1,"[(25421, 2, 127)]"
A named third party does do something unspecified with unspecified information about you for analytics or research.,1,"[(10312, 5, 103)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the use of your information.,1,"[(8555, 3, 96)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,1,"[(25422, 3, 127)]"
"The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(25424, 4, 127)]"
The site collects your IP address or device IDs for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(8559, 5, 96)]"
"When a change of a variety outside of our label scheme is made to the privacy policy, users are notified when visiting the website. Users have a choice not covered by our label scheme.",1,"[(10315, 6, 103)]"
"A user's cookies and tracking elements is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted..",1,"[(25429, 4, 127)]"
An unnamed third party does receive unspecified information about you for an unspecified purpose. The data is aggregated or anonymized.,1,"[(8562, 5, 96)]"
A user's IP address and device IDs is retained for a stated period of time to maintain service operations or security.,1,"[(10313, 5, 103)]"
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",1,"[(25425, 4, 127)]"
An unnamed third party does track on the first party website or app your cookies or tracking elements for an unspecified purpose.,1,"[(10311, 4, 103)]"
The site collects your contact information for a purpose outside of our label scheme. Collection happens when you explicitly provide information on the website. You can configure your privacy using a method outside our label scheme for the collection and use of your information.,1,"[(10309, 3, 103)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(8560, 5, 96)]"
