"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",6,"[(4889, 0, 84), (6690, 0, 82), (4920, 14, 84), (6744, 14, 82), (4921, 15, 84), (4922, 16, 84)]"
"The policy makes a statement about how data from European users is treated (e.g., Safe Harbor provisions).",6,"[(4930, 21, 84), (5941, 21, 88), (6697, 21, 82), (4935, 23, 84), (5942, 23, 88), (6693, 23, 82)]"
The text describes a specific data practice that is not covered by our label scheme.,5,"[(5932, 0, 88), (5955, 14, 88), (5939, 15, 88), (6740, 15, 82), (6699, 20, 82)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(6739, 12, 82), (4934, 22, 84), (5946, 22, 88), (6694, 22, 82)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",4,"[(6743, 13, 82), (4937, 25, 84), (5944, 25, 88), (6691, 25, 82)]"
The policy makes a statement about how data from children is treated.,3,"[(4911, 8, 84), (5937, 8, 88), (6704, 8, 82)]"
Data is accessible to employees/third parties on a need-to-know basis.,3,"[(4933, 22, 84), (5945, 22, 88), (6696, 22, 82)]"
"The policy makes specific provisions for international audiences, non-US citizens, or non-European citizens (e.g., about international data transfer).",3,"[(4931, 20, 84), (5947, 20, 88), (6698, 20, 82)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions.,2,"[(4915, 11, 84), (6735, 11, 82)]"
The site collects your contact information for an additional (non-basic) service or feature. Collection happens in an unspecified way.,2,"[(6711, 3, 82), (4903, 5, 84)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website.,2,"[(4907, 7, 84), (5970, 7, 88)]"
A named third party does receive your unspecified personal information for analytics or research.,2,"[(6730, 9, 82), (6738, 12, 82)]"
A named third party does receive your unspecified personal information for an additional (non-basic) service or feature.,2,"[(6709, 3, 82), (6737, 12, 82)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",2,"[(5951, 18, 88), (6746, 18, 82)]"
The site collects your demographic information for an unspecified purpose. Collection happens in an unspecified way.,2,"[(4899, 4, 84), (6713, 4, 82)]"
A named third party does receive your financial information for an additional (non-basic) service or feature.,2,"[(4897, 3, 84), (6710, 3, 82)]"
"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear.",2,"[(4936, 24, 84), (5943, 24, 88)]"
An unnamed third party does collect on the first party website or app your cookies or tracking elements for targeted advertising. The data is aggregated or anonymized.,1,"[(5968, 6, 88)]"
The site collects your generic personal information for a basic service or feature. Collection happens in an unspecified way for users with accounts.,1,"[(6706, 2, 82)]"
An unnamed third party does receive unspecified information about you for an additional (non-basic) service or feature.,1,"[(4917, 12, 84)]"
The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,1,"[(6723, 7, 82)]"
The site collects your website activities for an additional (non-basic) service or feature. Collection happens when you implicitly provide information in an unspecified way.,1,"[(6728, 7, 82)]"
The site collects your unspecified information for marketing purposes. Collection happens in an unspecified way.,1,"[(4901, 5, 84)]"
The site collects your location information for a basic service or feature. Collection happens when you explicitly provide information on the website for users with accounts.,1,"[(4893, 3, 84)]"
"Users without accounts can edit their information, within the scope of unspecified user information.",1,"[(4925, 18, 84)]"
An unnamed third party does receive unspecified information about you for marketing purposes. You can opt out using the provided link for the use of your information.,1,"[(4918, 13, 84)]"
The site does not collect your generic personal information for an unspecified purpose. Collection happens in an unspecified way for a user type outside of our label scheme.,1,"[(6729, 8, 82)]"
A named third party does receive your unspecified personal information for a basic service or feature.,1,"[(6736, 12, 82)]"
The site collects your unspecified information for service operations or security. Collection happens in an unspecified way.,1,"[(4902, 5, 84)]"
"The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can choose not to use the service or feature.",1,"[(5965, 5, 88)]"
An unspecified third party does receive unspecified information about you for service operations or security.,1,"[(4914, 10, 84)]"
An unnamed third party does receive unspecified information about you for analytics or research.,1,"[(5959, 12, 88)]"
The site collects your generic personal information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way.,1,"[(6714, 5, 82)]"
"You can opt out (via a link) from the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(4928, 19, 84)]"
An unnamed third party does receive your unspecified personal information for service operations or security. The data is personally identifiable.,1,"[(5961, 10, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(4891, 2, 84)]"
The site collects your generic personal information for marketing purposes. Collection happens when you explicitly provide information in an unspecified way.,1,"[(6715, 5, 82)]"
The site collects your website activities for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(5972, 7, 88)]"
The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on the website.,1,"[(5973, 7, 88)]"
"You can opt out (by contacting the company) from the use of contact information by the site, which uses it for marketing purposes.",1,"[(5948, 19, 88)]"
The site collects your unspecified information for an unspecified purpose. Collection happens on other websites.,1,"[(4904, 5, 84)]"
Another part of the company or institution does receive your unspecified personal information for an additional (non-basic) service or feature. The data is personally identifiable. You can opt in for data collection.,1,"[(5957, 13, 88)]"
The site collects your computer information for service operations or security. Collection happens when you implicitly provide information on the website.,1,"[(5971, 7, 88)]"
A named third party does do something unspecified with unspecified information about you for targeted advertising.,1,"[(5953, 17, 88)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website for users with accounts. You can configure your privacy with browser settings.,1,"[(4905, 6, 84)]"
A user with an account can use privacy configuration settings (in the website or app) to control the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(6700, 19, 82)]"
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1,"[(5935, 2, 88)]"
The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way.,1,"[(6722, 7, 82)]"
"You can opt out (by contacting the company) from the use of unspecified information by a third party, which collects or receives it for marketing purposes.",1,"[(6742, 13, 82)]"
The site collects your computer information for a basic service or feature. Collection happens when you implicitly provide information on the website.,1,"[(4908, 7, 84)]"
"Users with accounts can delete their account (although the company or organization may continue to keep some data), within the scope of information explicitly provided by the user.",1,"[(5952, 18, 88)]"
A user's unspecified information is retained for an unspecified duration to maintain service operations or security.,1,"[(5950, 18, 88)]"
An unspecified third party does receive your demographic information for an unspecified purpose.,1,"[(6732, 9, 82)]"
An unspecified third party does receive unspecified information about you for legal requirements.,1,"[(4913, 10, 84)]"
An unnamed third party does receive your unspecified personal information for marketing purposes. You can opt in for data collection.,1,"[(6741, 13, 82)]"
"You can opt out (by contacting the company) from the use of unspecified information by the site, which uses it for an unspecified purpose.",1,"[(4927, 19, 84)]"
The site collects your cookies or tracking elements for personalization or customization. Collection happens in an unspecified way. You can configure your privacy with browser settings.,1,"[(6719, 6, 82)]"
The company/organization trains its employees/third parties in applicable privacy and security practices to protect user data.,1,"[(4932, 22, 84)]"
An unnamed third party does receive unspecified information about you for mergers or acquisitions. The data is personally identifiable.,1,"[(5938, 11, 88)]"
"A user's unspecified information is retained for a limited (but unspecified) period of time to perform a requested service, and then it is deleted..",1,"[(6748, 18, 82)]"
"The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection.",1,"[(6705, 1, 82)]"
The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.,1,"[(4898, 4, 84)]"
The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for users with accounts.,1,"[(6708, 3, 82)]"
The site collects your unspecified information for a basic service or feature. Collection happens in an unspecified way.,1,"[(4900, 5, 84)]"
You can opt out (via a link) from the use of unspecified information by an unspecified party for an unspecified purpose.,1,"[(6702, 19, 82)]"
The site collects your website activities for advertising. Collection happens when you implicitly provide information by an unnamed service or third party.,1,"[(5969, 6, 88)]"
An unnamed third party does receive unspecified information about you for a basic service or feature.,1,"[(4916, 12, 84)]"
"The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information on the website, and your data is identifiable. You can configure your privacy with browser settings.",1,"[(5967, 6, 88)]"
"A user with an account can opt out (by contacting the company) from the use of generic personal information by the site, which uses it for an unspecified purpose.",1,"[(6747, 18, 82)]"
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which collects or receives it for marketing purposes.",1,"[(5956, 13, 88)]"
