The policy makes a statement about how data from children is treated.,29,"[(8538, 34, 96), (10294, 34, 103), (8539, 35, 96), (10295, 35, 103), (8540, 36, 96), (10296, 36, 103), (8541, 37, 96), (10297, 37, 103), (8542, 38, 96), (10298, 38, 103), (8543, 39, 96), (10299, 39, 103), (8544, 40, 96), (10300, 40, 103), (8545, 41, 96), (10301, 41, 103), (8546, 42, 96), (10302, 42, 103), (8547, 43, 96), (10303, 43, 103), (25289, 34, 127), (25396, 35, 127), (25411, 36, 127), (25290, 37, 127), (25302, 39, 127), (25303, 40, 127), (25306, 41, 127), (25307, 42, 127), (25311, 43, 127)]"
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.",18,"[(10282, 24, 103), (10281, 25, 103), (10285, 26, 103), (10289, 29, 103), (8537, 33, 96), (10293, 33, 103), (8549, 44, 96), (10305, 44, 103), (25272, 24, 127), (25273, 25, 127), (25277, 27, 127), (25281, 29, 127), (25283, 31, 127), (25286, 32, 127), (25287, 33, 127), (25300, 38, 127), (25309, 43, 127), (25312, 44, 127)]"
The text does not fit into our label scheme.,9,"[(8457, 9, 96), (8522, 20, 96), (8528, 25, 96), (8531, 27, 96), (10286, 27, 103), (8532, 28, 96), (10287, 28, 103), (25341, 12, 127), (25393, 20, 127)]"
The text describes a specific data practice that is not covered by our label scheme.,8,"[(10274, 20, 103), (25338, 12, 127), (25388, 17, 127), (25391, 18, 127), (25278, 28, 127), (25285, 31, 127), (25406, 35, 127), (25310, 43, 127)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",8,"[(8438, 0, 96), (9900, 0, 103), (8525, 23, 96), (10278, 23, 103), (25238, 0, 127), (25357, 14, 127), (25369, 15, 127), (25288, 34, 127)]"
"The policy makes a statement about how data from Californian users is treated (e.g., California privacy rights).",5,"[(8535, 31, 96), (10291, 31, 103), (8536, 32, 96), (10292, 32, 103), (25284, 31, 127)]"
"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data"".",4,"[(8534, 30, 96), (10290, 30, 103), (25282, 30, 127), (25413, 36, 127)]"
"Users with accounts can edit their information, within the scope of information explicitly provided by the user.",4,"[(8533, 29, 96), (10288, 29, 103), (25322, 3, 127), (25280, 29, 127)]"
An unspecified third party does receive unspecified information about you for mergers or acquisitions.,3,"[(10168, 10, 103), (8523, 21, 96), (25258, 10, 127)]"
An unspecified third party does receive unspecified information about you for service operations or security.,3,"[(8464, 10, 96), (10167, 10, 103), (25257, 10, 127)]"
